k,coor_x,coor_y,t_e,t_i,t_r,ftype0,ftype1,ftype2,herdn,initial_source
54,0.324928763322532,0.476145636057481,45.615,53.588,95.829,1,0,0,NA,9999
94,0.102989326231182,0.382338164141402,48.448,76.567,106.519,1,0,0,NA,9999
90,0.200356637360528,0.252712653717026,50.618,65.258,89.644,1,0,0,NA,9999
62,0.224228662904352,0.169656007550657,57.724,102.732,176.996,1,0,0,NA,9999
2,0.0827553612180054,0.160736421821639,59.422,90.074,103.445,1,0,0,NA,9999
42,0.082417423138395,0.378979021450505,62.372,71.479,85.595,1,0,0,NA,9999
27,0.139284348115325,0.157413959968835,65.838,86.644,107.469,1,0,0,NA,9999
76,0.227082763100043,0.249214290641248,66.383,83.201,101.782,1,0,0,NA,9999
32,0.328257655957714,0.406438540900126,69.507,78.414,93.908,1,0,0,NA,9999
3,0.0390188021119684,0.193440980743617,75.04,98.879,112.432,1,0,0,NA,9999
14,0.278369597159326,0.118628903757781,79.202,120.864,124.444,1,0,0,NA,9999
83,0.181392545579001,0.0191253472585231,79.79,115.254,118.957,1,0,0,NA,9999
78,0.4036278068088,0.352304848842323,80.185,96.619,106.731,1,0,0,NA,9999
66,0.0261180035304278,0.426462709438056,81.764,116.16,127.839,1,0,0,NA,9999
9,0.362901601241902,0.555884429020807,82.344,89.732,113.662,1,0,0,NA,9999
22,0.449733651708812,0.365308195119724,83.724,116.084,163.941,1,0,0,NA,9999
96,0.463375227991492,0.361362748546526,85.131,108.731,139.72,1,0,0,NA,9999
23,0.370439893333241,0.13081279839389,87.436,108.305,143.356,1,0,0,NA,9999
34,0.164133786922321,0.39004423818551,89.103,99.733,117.346,1,0,0,NA,9999
25,0.19436134910211,0.431961834663525,89.315,111.561,121.694,1,0,0,NA,9999
86,0.335339950397611,0.715455275494605,90.966,112.315,144.696,1,0,0,NA,9999
31,0.338822673773393,0.688185377977788,93.257,109.003,129.106,1,0,0,NA,9999
7,0.105095533421263,0.0091617195867002,93.607,112.196,144.488,1,0,0,NA,9999
37,0.151257948251441,0.369214221136644,93.729,132.146,143.755,1,0,0,NA,9999
28,0.131119691068307,0.118816662579775,93.905,107.072,119.523,1,0,0,NA,9999
56,0.0680871119257063,0.542902640067041,108.12,138.422,164.209,1,0,0,NA,9999
26,0.467995358165354,0.817260513547808,110.462,120.438,135.695,1,0,0,NA,9999
79,0.200312091270462,0.669865410076454,110.725,134.531,153.495,1,0,0,NA,9999
50,0.0250409075524658,0.0551768143195659,111.664,123.422,147.849,1,0,0,NA,9999
12,0.44215068500489,0.546142848674208,112.227,132.703,150.454,1,0,0,NA,9999
60,0.17305666487664,0.0801319580059499,114.354,128.031,162.837,1,0,0,NA,9999
24,0.545704446500167,0.535041959024966,116.142,127.346,140.873,1,0,0,NA,9999
97,0.116613840451464,0.554371072677895,120.448,134.813,161.958,1,0,0,NA,9999
29,0.372159713413566,0.00438199238851666,121.154,140.9,170.657,1,0,0,NA,9999
6,0.514716625912115,0.45094732590951,122.007,132.813,135.923,1,0,0,NA,9999
11,0.543502713087946,0.0204386750701815,122.028,145.104,173.453,1,0,0,NA,9999
59,0.550326350610703,0.00645402586087584,123.91,157.605,197.333,1,0,0,NA,9999
65,0.137852110667154,0.758800444891676,127.397,142.157,152.8,1,0,0,NA,9999
99,0.648796560708433,0.884064577287063,127.688,138.414,162.08,1,0,0,NA,9999
4,0.474070282652974,0.975990950362757,131.59,148.361,153.073,1,0,0,NA,9999
81,0.4698339139577,0.105039305519313,134.056,148.018,175.794,1,0,0,NA,9999
58,0.11719962884672,0.567898976849392,134.978,142.736,148.521,1,0,0,NA,9999
95,0.0537366995122284,0.563275133492425,140.708,189.647,198.3,1,0,0,NA,9999
89,0.147538939258084,0.752580830361694,141.019,151.346,165.666,1,0,0,NA,9999
40,0.699947238201275,0.932797878980637,142.001,148.935,167.07,1,0,0,NA,9999
51,0.411032343981788,0.116670248797163,142.359,167.372,172.084,1,0,0,NA,9999
20,0.198539644945413,0.577267962275073,144.515,162.627,181.628,1,0,0,NA,9999
92,0.680184112628922,0.855040097609162,146.314,161.475,178.939,1,0,0,NA,9999
38,0.458433414809406,0.277261780807748,146.877,157.192,178.893,1,0,0,NA,9999
55,0.447262688772753,0.104605439119041,148.975,169.255,195.013,1,0,0,NA,9999
72,0.583925759652629,0.334778303280473,156.577,184.589,200.891,1,0,0,NA,9999
93,0.7746774002444,0.851925547700375,157.555,172.204,204.108,1,0,0,NA,9999
87,0.0912714246660471,0.765960660064593,162.566,178.115,212.82,1,0,0,NA,9999
43,0.601363564841449,0.771011846372858,168.632,233.187,241.694,1,0,0,NA,9999
77,0.907646653708071,0.755001735407859,172.969,219.663,261.368,1,0,0,NA,9999
71,0.695933061419055,0.73361340072006,180.039,211.988,221.691,1,0,0,NA,9999
68,0.157068874919787,0.950941800838336,181.511,197.351,234.869,1,0,0,NA,9999
73,0.706347931409255,0.693472475046292,186.057,204.567,220.661,1,0,0,NA,9999
91,0.733079190133139,0.567711785202846,187.658,232.134,248.902,1,0,0,NA,9999
15,0.0693032722920179,0.714250205317512,190.566,209.344,228.03,1,0,0,NA,9999
36,0.698849949752912,0.251299833646044,195.725,232.985,266.155,1,0,0,NA,9999
33,0.763701887568459,0.323074506595731,200.128,217.131,272.574,1,0,0,NA,9999
49,0.0425542385783046,0.860023361863568,202.953,210.16,232.906,1,0,0,NA,9999
85,0.136530977440998,0.920968941412866,203.079,207.489,216.971,1,0,0,NA,9999
13,0.758465464459732,0.781147038796917,203.488,227.608,250.198,1,0,0,NA,9999
61,0.704002307960764,0.733906318433583,214.256,242.211,259.659,1,0,0,NA,9999
18,0.230550063541159,0.873286650050431,215.509,244.719,254.814,1,0,0,NA,9999
1,0.660712548298761,0.76419547572732,217.45,250.379,253.525,1,0,0,NA,9999
16,0.864669744856656,0.256785069359466,221.437,226.526,252.723,1,0,0,NA,9999
84,0.91776927234605,0.220993075752631,228.429,239.621,281.62,1,0,0,NA,9999
30,0.218368224566802,0.845737119438127,233.194,264.824,282.042,1,0,0,NA,9999
44,0.78336662449874,0.968722546705976,233.849,256.907,263.866,1,0,0,NA,9999
80,0.583797143772244,0.803284852299839,235.686,281.21,298.262,1,0,0,NA,9999
21,0.946294160559773,0.263135556597263,240.746,251.635,269.361,1,0,0,NA,9999
53,0.821623926283792,0.139306219061837,242.749,253.062,289.885,1,0,0,NA,9999
5,0.833141883602366,0.227224228670821,245.535,265.565,287.517,1,0,0,NA,9999
75,0.903433290310204,0.648723744787276,247.567,260.507,296.621,1,0,0,NA,9999
88,0.76338232983835,0.656379659892991,254.333,266.714,285.317,1,0,0,NA,9999
52,0.674455157946795,0.637277859495953,282.297,298.497,309.587,1,0,0,NA,9999
